frame_index,time_sec,yaw,pitch,roll,raw_yaw,raw_pitch,raw_roll,smoothed_yaw,smoothed_pitch,smoothed_roll,confidence,yaw_confidence,pitch_confidence,roll_confidence,status,warnings,detected_line_count,near_horizontal_count,near_vertical_count,perspective_line_count,vanishing_point_candidate_count,horizon_candidate_count,selected_horizon_y_at_center,selected_vanishing_point_x,selected_vanishing_point_y
93,9.3,58.35,3.61,-0.0,58.35,3.61,-0.0,,,,0.89,0.98,0.87,0.82,full,[],70,21,9,40,612,16,147.84,924.35,191.16
94,9.4,58.78,2.61,-0.94,58.78,2.61,-0.94,,,,0.86,0.99,0.78,0.81,full,[],64,24,6,34,398,16,158.67,929.49,189.01
95,9.5,56.97,2.13,-0.0,56.97,2.13,-0.0,,,,0.88,0.99,0.82,0.82,full,[],67,16,9,42,582,13,163.87,908.58,188.75
96,9.6,57.64,0.79,-0.0,57.64,0.79,-0.0,,,,0.89,0.99,0.87,0.81,full,[],58,15,5,38,441,13,178.41,916.1,186.81
97,9.7,55.78,0.21,-0.0,55.78,0.21,-0.0,,,,0.87,0.99,0.8,0.83,full,[],56,16,6,34,398,12,184.69,895.97,187.19
98,9.8,51.64,-2.04,-0.0,51.64,-2.04,-0.0,,,,0.88,0.99,0.84,0.81,full,[],39,12,5,22,153,8,209.1,857.29,194.14
99,9.9,51.55,-1.48,-1.68,51.55,-1.48,-1.68,,,,0.89,0.99,0.84,0.83,full,[],39,15,4,20,119,13,203.03,856.54,189.65
100,10.0,50.52,-1.71,-0.94,50.52,-1.71,-0.94,,,,0.91,1.0,0.88,0.84,full,[],33,9,6,18,110,6,205.55,847.99,176.77
101,10.1,45.92,-1.35,-1.18,45.92,-1.35,-1.18,,,,0.89,1.0,0.85,0.81,full,[],40,16,5,19,123,14,201.6,814.09,179.02
102,10.2,42.41,-0.48,-1.85,42.41,-0.48,-1.85,,,,0.87,0.99,0.79,0.83,full,[],34,9,8,17,95,8,192.19,791.81,182.24
103,10.3,40.72,-1.08,-0.0,40.72,-1.08,-0.0,,,,0.88,0.99,0.84,0.81,full,[],43,17,5,21,166,15,198.75,781.98,178.16
104,10.4,37.53,-0.78,-1.29,37.53,-0.78,-1.29,,,,0.86,0.99,0.79,0.8,full,[],36,11,5,20,152,10,195.44,764.65,179.41
105,10.5,32.42,-0.63,-0.0,32.42,-0.63,-0.0,,,,0.88,0.99,0.84,0.81,full,[],43,12,6,25,234,8,193.82,739.75,180.11
106,10.6,32.22,-0.01,-0.0,32.22,-0.01,-0.0,,,,0.86,1.0,0.78,0.8,full,[],44,5,8,31,386,4,187.06,738.87,176.5
107,10.7,26.22,-0.1,-0.0,26.22,-0.1,-0.0,,,,0.87,0.99,0.85,0.77,full,[],64,13,8,43,754,12,188.08,713.08,176.31
108,10.8,21.22,0.08,-0.0,21.22,0.08,-0.0,,,,0.89,1.0,0.87,0.81,full,[],39,7,8,24,219,7,186.08,693.6,175.09
109,10.9,16.16,0.26,-0.81,16.16,0.26,-0.81,,,,0.88,1.0,0.85,0.79,full,[],37,8,7,22,179,8,184.16,675.19,172.79
110,11.0,11.09,0.87,-0.0,11.09,0.87,-0.0,,,,0.89,1.0,0.85,0.81,full,[],35,9,7,19,142,9,177.55,657.66,172.2
111,11.1,12.28,0.38,-0.0,12.28,0.38,-0.0,,,,0.89,1.0,0.84,0.82,full,[],35,12,7,16,94,12,182.92,661.71,177.5
112,11.2,5.35,0.06,-0.0,5.35,0.06,-0.0,,,,0.9,0.99,0.89,0.82,full,[],38,10,7,21,161,10,186.32,638.5,172.96
113,11.3,-1.28,0.89,1.96,-1.28,0.89,1.96,,,,0.86,0.99,0.79,0.81,full,[],25,7,3,15,82,7,177.36,616.83,167.35
114,11.4,-3.19,-0.15,1.45,-3.19,-0.15,1.45,,,,0.9,1.0,0.89,0.81,full,[],32,8,4,20,143,7,188.62,610.59,169.2
115,11.5,-7.81,-0.37,-1.19,-7.81,-0.37,-1.19,,,,0.87,1.0,0.88,0.74,full,[],24,6,1,17,108,6,191.0,595.36,169.83
116,11.6,-7.57,-0.19,-0.87,-7.57,-0.19,-0.87,,,,0.77,0.99,0.64,0.68,full,[],21,3,3,15,78,2,189.09,596.16,179.77
117,11.7,-14.46,-4.68,2.15,-14.46,-4.68,2.15,,,,0.88,1.0,0.85,0.78,full,[],24,7,2,15,84,5,237.86,572.79,172.52
118,11.8,-19.21,0.47,2.88,-19.21,0.47,2.88,,,,0.76,1.0,0.56,0.72,full,[],23,3,3,17,103,1,181.9,555.86,172.44
119,11.9,-25.61,-4.28,3.13,-25.61,-4.28,3.13,,,,0.86,0.99,0.78,0.8,full,[],27,6,3,18,99,4,233.44,531.38,171.61
120,12.0,-21.96,0.39,2.49,-21.96,0.39,2.49,,,,0.89,0.99,0.87,0.81,full,[],35,7,4,24,192,4,182.73,545.61,182.62
121,12.1,-30.71,-4.27,3.68,-30.71,-4.27,3.68,,,,0.86,1.0,0.75,0.83,full,[],28,8,2,18,104,4,233.38,509.92,173.97
122,12.2,-34.1,-0.79,1.82,-34.1,-0.79,1.82,,,,0.91,0.99,0.91,0.83,full,[],35,10,3,22,183,6,195.6,494.41,173.91
123,12.3,-37.04,-0.79,4.18,-37.04,-0.79,4.18,,,,0.9,1.0,0.87,0.83,full,[],30,9,3,18,120,6,195.54,479.89,174.08
124,12.4,-39.13,-0.28,-0.0,-39.13,-0.28,-0.0,,,,0.86,0.99,0.77,0.83,full,[],31,8,3,20,151,2,190.01,468.84,172.95
125,12.5,-40.98,-0.28,-0.0,-40.98,-0.28,-0.0,,,,0.93,0.99,0.95,0.84,full,[],35,10,4,21,174,5,190.0,458.54,180.63
126,12.6,-42.61,-0.33,0.55,-42.61,-0.33,0.55,,,,0.88,0.99,0.83,0.83,full,[],41,8,4,29,303,3,190.61,448.96,174.52
